session_date,minute_of_session,usable_observation,bar_present,sigma_history_valid,prior_14_eligible_usable,band_warm
2008-03-18,30,True,True,True,14,True
2008-03-18,60,True,True,True,14,True
2008-03-18,90,True,True,True,14,True
2008-03-18,120,True,True,True,14,True
2008-03-18,150,True,True,True,14,True
2008-03-18,180,True,True,True,14,True
2008-03-18,210,True,True,True,14,True
2008-03-18,240,True,True,True,14,True
2008-03-18,270,True,True,True,14,True
2008-03-18,300,True,True,True,14,True
2008-03-18,330,True,True,True,14,True
2008-03-18,360,True,True,True,14,True
2008-03-18,390,True,True,True,14,True
2008-03-19,30,True,True,True,14,True
2008-03-19,60,True,True,True,14,True
2008-03-19,90,True,True,True,14,True
2008-03-19,120,True,True,True,14,True
2008-03-19,150,True,True,True,14,True
2008-03-19,180,True,True,True,14,True
2008-03-19,210,True,True,True,14,True
2008-03-19,240,True,True,True,14,True
2008-03-19,270,True,True,True,14,True
2008-03-19,300,True,True,True,14,True
2008-03-19,330,True,True,True,14,True
2008-03-19,360,True,True,True,14,True
2008-03-19,390,True,True,True,14,True
2008-03-20,30,True,True,True,14,True
2008-03-20,60,True,True,True,14,True
2008-03-20,90,True,True,True,14,True
2008-03-20,120,True,True,True,14,True
2008-03-20,150,True,True,True,14,True
2008-03-20,180,True,True,True,14,True
2008-03-20,210,True,True,True,14,True
2008-03-20,240,True,True,True,14,True
2008-03-20,270,True,True,True,14,True
2008-03-20,300,True,True,True,14,True
2008-03-20,330,True,True,True,14,True
2008-03-20,360,True,True,True,14,True
2008-03-20,390,True,True,True,14,True
2008-03-24,30,True,True,True,14,True
2008-03-24,60,True,True,True,14,True
2008-03-24,90,True,True,True,14,True
2008-03-24,120,True,True,True,14,True
2008-03-24,150,True,True,True,14,True
2008-03-24,180,True,True,True,14,True
2008-03-24,210,True,True,True,14,True
2008-03-24,240,True,True,True,14,True
2008-03-24,270,True,True,True,14,True
2008-03-24,300,True,True,True,14,True
2008-03-24,330,True,True,True,14,True
2008-03-24,360,True,True,True,14,True
2008-03-24,390,True,True,True,14,True
2008-03-25,30,True,True,True,14,True
2008-03-25,60,True,True,True,14,True
2008-03-25,90,True,True,True,14,True
2008-03-25,120,True,True,True,14,True
2008-03-25,150,True,True,True,14,True
2008-03-25,180,True,True,True,14,True
2008-03-25,210,True,True,True,14,True
2008-03-25,240,True,True,True,14,True
2008-03-25,270,True,True,True,14,True
2008-03-25,300,True,True,True,14,True
2008-03-25,330,True,True,True,14,True
2008-03-25,360,True,True,True,14,True
2008-03-25,390,True,True,True,14,True
2008-03-26,30,True,True,True,14,True
2008-03-26,60,True,True,True,14,True
2008-03-26,90,True,True,True,14,True
2008-03-26,120,True,True,True,14,True
2008-03-26,150,True,True,True,14,True
2008-03-26,180,True,True,True,14,True
2008-03-26,210,True,True,True,14,True
2008-03-26,240,True,True,True,14,True
2008-03-26,270,True,True,True,14,True
2008-03-26,300,True,True,True,14,True
2008-03-26,330,True,True,True,14,True
2008-03-26,360,True,True,True,14,True
2008-03-26,390,True,True,True,14,True
2008-03-27,30,True,True,True,14,True
2008-03-27,60,True,True,True,14,True
2008-03-27,90,True,True,True,14,True
2008-03-27,120,True,True,True,14,True
2008-03-27,150,True,True,True,14,True
2008-03-27,180,True,True,True,14,True
2008-03-27,210,True,True,True,14,True
2008-03-27,240,True,True,True,14,True
2008-03-27,270,True,True,True,14,True
2008-03-27,300,True,True,True,14,True
2008-03-27,330,True,True,True,14,True
2008-03-27,360,True,True,True,14,True
2008-03-27,390,True,True,True,14,True
2008-03-28,30,True,True,True,14,True
2008-03-28,60,True,True,True,14,True
2008-03-28,90,True,True,True,14,True
2008-03-28,120,True,True,True,14,True
2008-03-28,150,True,True,True,14,True
2008-03-28,180,True,True,True,14,True
2008-03-28,210,True,True,True,14,True
2008-03-28,240,True,True,True,14,True
2008-03-28,270,True,True,True,14,True
2008-03-28,300,True,True,True,14,True
2008-03-28,330,True,True,True,14,True
2008-03-28,360,True,True,True,14,True
2008-03-28,390,True,True,True,14,True
2008-03-31,30,True,True,True,14,True
2008-03-31,60,True,True,True,14,True
2008-03-31,90,True,True,True,14,True
2008-03-31,120,True,True,True,14,True
2008-03-31,150,True,True,True,14,True
2008-03-31,180,True,True,True,14,True
2008-03-31,210,True,True,True,14,True
